"ID"	"Trial"	"Samples"	"TracklossSamples"	"TracklossForTrial"	"TracklossForParticipant"
"1"	"cognatepriming10"	"1"	240	0	0	0.00233061428333611
"2"	"cognatepriming10"	"2"	241	0	0	0.00233061428333611
"3"	"cognatepriming10"	"3"	240	0	0	0.00233061428333611
"4"	"cognatepriming10"	"4"	241	0	0	0.00233061428333611
"5"	"cognatepriming10"	"5"	240	0	0	0.00233061428333611
"6"	"cognatepriming10"	"6"	240	0	0	0.00233061428333611
"7"	"cognatepriming10"	"7"	240	0	0	0.00233061428333611
"8"	"cognatepriming10"	"8"	241	0	0	0.00233061428333611
"9"	"cognatepriming10"	"9"	241	0	0	0.00233061428333611
"10"	"cognatepriming10"	"11"	240	0	0	0.00233061428333611
"11"	"cognatepriming10"	"12"	241	3	0.012448132780083	0.00233061428333611
"12"	"cognatepriming10"	"13"	240	10	0.0416666666666667	0.00233061428333611
"13"	"cognatepriming10"	"15"	241	0	0	0.00233061428333611
"14"	"cognatepriming10"	"16"	240	0	0	0.00233061428333611
"15"	"cognatepriming10"	"17"	240	0	0	0.00233061428333611
"16"	"cognatepriming10"	"18"	240	0	0	0.00233061428333611
"17"	"cognatepriming10"	"19"	240	0	0	0.00233061428333611
"18"	"cognatepriming10"	"21"	240	0	0	0.00233061428333611
"19"	"cognatepriming10"	"22"	240	1	0.00416666666666667	0.00233061428333611
"20"	"cognatepriming10"	"23"	240	0	0	0.00233061428333611
"21"	"cognatepriming10"	"24"	240	0	0	0.00233061428333611
"22"	"cognatepriming10"	"25"	240	0	0	0.00233061428333611
"23"	"cognatepriming10"	"26"	240	0	0	0.00233061428333611
"24"	"cognatepriming10"	"29"	240	0	0	0.00233061428333611
"25"	"cognatepriming10"	"30"	241	0	0	0.00233061428333611
"26"	"cognatepriming11"	"1"	241	0	0	0.00256866231969966
"27"	"cognatepriming11"	"3"	241	0	0	0.00256866231969966
"28"	"cognatepriming11"	"4"	241	1	0.004149377593361	0.00256866231969966
"29"	"cognatepriming11"	"5"	241	0	0	0.00256866231969966
"30"	"cognatepriming11"	"6"	241	0	0	0.00256866231969966
"31"	"cognatepriming11"	"7"	241	0	0	0.00256866231969966
"32"	"cognatepriming11"	"8"	241	0	0	0.00256866231969966
"33"	"cognatepriming11"	"9"	241	0	0	0.00256866231969966
"34"	"cognatepriming11"	"14"	241	0	0	0.00256866231969966
"35"	"cognatepriming11"	"19"	241	1	0.004149377593361	0.00256866231969966
"36"	"cognatepriming11"	"21"	241	0	0	0.00256866231969966
"37"	"cognatepriming11"	"22"	241	1	0.004149377593361	0.00256866231969966
"38"	"cognatepriming11"	"23"	241	0	0	0.00256866231969966
"39"	"cognatepriming11"	"24"	241	0	0	0.00256866231969966
"40"	"cognatepriming11"	"25"	241	9	0.037344398340249	0.00256866231969966
"41"	"cognatepriming11"	"26"	241	0	0	0.00256866231969966
"42"	"cognatepriming11"	"27"	241	0	0	0.00256866231969966
"43"	"cognatepriming11"	"28"	241	0	0	0.00256866231969966
"44"	"cognatepriming11"	"30"	241	0	0	0.00256866231969966
"45"	"cognatepriming11"	"31"	241	0	0	0.00256866231969966
"46"	"cognatepriming11"	"32"	241	1	0.004149377593361	0.00256866231969966
"47"	"cognatepriming12"	"3"	240	9	0.0375	0.056554142919772
"48"	"cognatepriming12"	"4"	240	8	0.0333333333333333	0.056554142919772
"49"	"cognatepriming12"	"5"	240	23	0.0958333333333333	0.056554142919772
"50"	"cognatepriming12"	"6"	240	21	0.0875	0.056554142919772
"51"	"cognatepriming12"	"7"	240	6	0.025	0.056554142919772
"52"	"cognatepriming12"	"8"	240	3	0.0125	0.056554142919772
"53"	"cognatepriming12"	"10"	240	9	0.0375	0.056554142919772
"54"	"cognatepriming12"	"12"	240	0	0	0.056554142919772
"55"	"cognatepriming12"	"13"	241	56	0.232365145228216	0.056554142919772
"56"	"cognatepriming12"	"15"	240	23	0.0958333333333333	0.056554142919772
"57"	"cognatepriming12"	"18"	240	0	0	0.056554142919772
"58"	"cognatepriming12"	"19"	240	10	0.0416666666666667	0.056554142919772
"59"	"cognatepriming12"	"21"	240	0	0	0.056554142919772
"60"	"cognatepriming12"	"22"	240	22	0.0916666666666667	0.056554142919772
"61"	"cognatepriming12"	"23"	240	37	0.154166666666667	0.056554142919772
"62"	"cognatepriming12"	"24"	240	0	0	0.056554142919772
"63"	"cognatepriming12"	"26"	241	20	0.0829875518672199	0.056554142919772
"64"	"cognatepriming12"	"27"	240	8	0.0333333333333333	0.056554142919772
"65"	"cognatepriming12"	"29"	240	3	0.0125	0.056554142919772
"66"	"cognatepriming17"	"1"	240	0	0	0.0341057016401979
"67"	"cognatepriming17"	"2"	240	0	0	0.0341057016401979
"68"	"cognatepriming17"	"5"	241	16	0.0663900414937759	0.0341057016401979
"69"	"cognatepriming17"	"10"	240	19	0.0791666666666667	0.0341057016401979
"70"	"cognatepriming17"	"14"	240	0	0	0.0341057016401979
"71"	"cognatepriming17"	"16"	240	0	0	0.0341057016401979
"72"	"cognatepriming17"	"17"	240	23	0.0958333333333333	0.0341057016401979
"73"	"cognatepriming17"	"18"	240	0	0	0.0341057016401979
"74"	"cognatepriming17"	"22"	240	0	0	0.0341057016401979
"75"	"cognatepriming17"	"23"	240	0	0	0.0341057016401979
"76"	"cognatepriming17"	"25"	240	15	0.0625	0.0341057016401979
"77"	"cognatepriming17"	"26"	240	8	0.0333333333333333	0.0341057016401979
"78"	"cognatepriming17"	"27"	240	13	0.0541666666666667	0.0341057016401979
"79"	"cognatepriming17"	"28"	240	23	0.0958333333333333	0.0341057016401979
"80"	"cognatepriming17"	"29"	240	0	0	0.0341057016401979
"81"	"cognatepriming17"	"30"	240	14	0.0583333333333333	0.0341057016401979
"82"	"cognatepriming5"	"1"	240	37	0.154166666666667	0.0186661833997825
"83"	"cognatepriming5"	"2"	239	8	0.0334728033472803	0.0186661833997825
"84"	"cognatepriming5"	"3"	240	0	0	0.0186661833997825
"85"	"cognatepriming5"	"4"	241	2	0.00829875518672199	0.0186661833997825
"86"	"cognatepriming5"	"8"	240	0	0	0.0186661833997825
"87"	"cognatepriming5"	"9"	240	4	0.0166666666666667	0.0186661833997825
"88"	"cognatepriming5"	"10"	240	10	0.0416666666666667	0.0186661833997825
"89"	"cognatepriming5"	"11"	239	0	0	0.0186661833997825
"90"	"cognatepriming5"	"12"	240	2	0.00833333333333333	0.0186661833997825
"91"	"cognatepriming5"	"13"	239	4	0.0167364016736402	0.0186661833997825
"92"	"cognatepriming5"	"15"	241	0	0	0.0186661833997825
"93"	"cognatepriming5"	"16"	240	0	0	0.0186661833997825
"94"	"cognatepriming5"	"18"	241	0	0	0.0186661833997825
"95"	"cognatepriming5"	"20"	240	36	0.15	0.0186661833997825
"96"	"cognatepriming5"	"21"	239	0	0	0.0186661833997825
"97"	"cognatepriming5"	"22"	240	0	0	0.0186661833997825
"98"	"cognatepriming5"	"23"	240	0	0	0.0186661833997825
"99"	"cognatepriming5"	"24"	239	0	0	0.0186661833997825
"100"	"cognatepriming5"	"25"	240	0	0	0.0186661833997825
"101"	"cognatepriming5"	"26"	240	0	0	0.0186661833997825
"102"	"cognatepriming5"	"27"	240	0	0	0.0186661833997825
"103"	"cognatepriming5"	"28"	240	0	0	0.0186661833997825
"104"	"cognatepriming5"	"31"	240	0	0	0.0186661833997825
